,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
0,1/10/2020,6:00,0.35,14.21,11.9,11.60091364,18.01636364,11.60091364
1,1/10/2020,6:05,0.72,21.87,12.3,11.66820682,23.63545455,11.66820682
2,1/10/2020,6:10,1.07,28.58,12.56,11.76909545,28.92545455,11.76909545
3,1/10/2020,6:15,1.26,31.32,12.4,11.87260909,35.21090909,11.87260909
4,1/10/2020,6:20,1.66,38.58,12.68,11.97558182,41.18545455,11.97558182
5,1/10/2020,6:25,2.09,46.88,13.25,12.05957045,48.18090909,12.05957045
6,1/10/2020,6:30,2.87,62.84,14.05,12.14734091,56.06363636,12.14734091
7,1/10/2020,6:35,2.66,59.64,14.31,12.269025,63.30818182,12.269025
8,1/10/2020,6:40,3.16,71.47,14.61,12.45878636,68.90363636,12.45878636
9,1/10/2020,6:45,2.93,69.93,14.55,12.67548409,77.28818182,12.67548409
10,1/10/2020,6:50,3.56,84.67,14.62,12.88613409,90.71909091,12.88613409
11,1/10/2020,6:55,4.56,100.92,15.25,13.21897045,103.83909090000002,13.21897045
12,1/10/2020,7:00,4.91,101.56,15.83,13.61263864,113.9536364,13.61263864
13,1/10/2020,7:05,4.49,90.13,16.34,13.95688864,127.9809091,13.95688864
14,1/10/2020,7:10,6.07,123.55,17.32,12.957336819000002,138.62,12.957336819000002
15,1/10/2020,7:15,8.69,186.32,19.06,13.341391362000001,149.7472727,13.341391362000001
16,1/10/2020,7:20,8.68,191.2,20.88,13.774197275999999,161.5163636,13.774197275999999
17,1/10/2020,7:25,8.04,174.1,21.44,14.150192724000002,174.5890909,14.150192724000002
18,1/10/2020,7:30,10.01,213.94,22.34,13.7147847735,188.1472727,13.7147847735
19,1/10/2020,7:35,9.01,188.5,22.67,14.028108297000001,203.8009091,14.028108297000001
20,1/10/2020,7:40,9.4,192.33,22.61,14.4114544295,211.93,14.4114544295
21,1/10/2020,7:45,10.63,214.13,23.47,14.6982444295,217.8427273,14.6982444295
22,1/10/2020,7:50,12.1,244.72,23.8,14.918402155999999,221.5481818,14.918402155999999
23,1/10/2020,7:55,12.54,250.7,24.47,15.0070880705,231.3409091,15.0070880705
24,1/10/2020,8:00,12.84,262.32,25.13,15.232840344000001,237.65,15.232840344000001
25,1/10/2020,8:05,10.08,212.97,24.74,15.2140031795,265.2327273,15.2140031795
26,1/10/2020,8:10,12.22,251.36,24.56,13.7916221625,285.3318182,13.7916221625
27,1/10/2020,8:15,11.32,231.96,24.85,14.0879982975,294.3009091,14.0879982975
28,1/10/2020,8:20,13.54,281.82,25.55,14.30517273,295.3745455,14.30517273
29,1/10/2020,8:25,13.27,283.34,27.17,14.52072273,289.6509091,14.52072273
30,1/10/2020,8:30,23.02,491.91,30.77,14.68354602,280.56636360000005,14.68354602
31,1/10/2020,8:35,19.73,413.42,34.08,14.737223865,275.22,14.737223865
32,1/10/2020,8:40,15.88,312.79,30.53,14.85939375,266.09,14.85939375
33,1/10/2020,8:45,13.22,256.53,27.31,14.87012898,259.2554545,14.87012898
34,1/10/2020,8:50,10.0,187.74,25.9,14.878307385,247.7845455,14.878307385
35,1/10/2020,8:55,8.74,162.39,24.77,14.774048865,236.3436364,14.774048865
36,1/10/2020,9:00,8.52,154.16,23.91,14.681275567499998,215.85,14.681275567499998
37,1/10/2020,9:05,8.04,150.93,23.59,14.199051135,209.4454545,14.199051135
38,1/10/2020,9:10,8.54,156.78,22.94,13.536548865,239.2527273,13.536548865
39,1/10/2020,9:15,8.62,155.64,22.2,13.6294568175,251.9381818,13.6294568175
40,1/10/2020,9:20,8.64,157.49,22.18,13.546077269999998,275.3527273,13.546077269999998
41,1/10/2020,9:25,13.9,266.48,23.21,13.611375,301.1454545,13.611375
42,1/10/2020,9:30,18.11,342.97,25.07,13.916180115,315.7554545,13.916180115
43,1/10/2020,9:35,32.23,640.67,29.83,14.14410852,329.9936364,14.14410852
44,1/10/2020,9:40,19.93,396.07,32.51,14.34814773,340.9272727,14.34814773
45,1/10/2020,9:45,22.61,445.3,31.76,14.548251135,356.5145455,14.548251135
46,1/10/2020,9:50,22.24,446.11,33.53,14.8155596625,375.68636360000005,14.8155596625
47,1/10/2020,9:55,16.1,314.87,32.8,15.25655625,385.0154545,15.25655625
48,1/10/2020,10:00,16.01,307.55,31.24,15.71029773,385.4290909,15.71029773
49,1/10/2020,10:05,14.29,277.05,29.24,16.268019885,360.0409091,16.268019885
50,1/10/2020,10:10,16.98,327.1,29.85,16.07625852,362.1318182,16.07625852
51,1/10/2020,10:15,19.27,368.38,31.9,15.9565653375,360.3318182,15.9565653375
52,1/10/2020,10:20,19.4,369.1,32.5,15.490336365,380.16,15.490336365
53,1/10/2020,10:25,17.86,347.52,31.85,14.81745,441.2145455,14.81745
54,1/10/2020,10:30,18.54,361.4,30.33,15.2560857975,450.3936364,15.2560857975
55,1/10/2020,10:35,21.16,419.07,30.33,15.1166369325,484.13,15.1166369325
56,1/10/2020,10:40,20.88,425.5,29.46,15.2579454525,502.8654545,15.2579454525
57,1/10/2020,10:45,33.47,664.22,32.69,14.7284829525,552.1727272999998,14.7284829525
58,1/10/2020,10:50,47.06,986.47,41.4,14.489611365,608.68,14.489611365
59,1/10/2020,10:55,21.13,408.52,40.45,14.4037465875,676.7109091,14.4037465875
60,1/10/2020,11:00,31.93,648.15,37.4,15.2649153375,694.23,15.2649153375
61,1/10/2020,11:05,26.34,533.19,37.59,15.5743892025,712.6136364,15.5743892025
62,1/10/2020,11:10,43.67,910.76,39.05,15.35158977,773.6309091,15.35158977
63,1/10/2020,11:15,48.84,990.68,46.09,16.1172204525,778.2945455,16.1172204525
64,1/10/2020,11:20,49.66,1095.86,51.17,16.8738732975,745.7736364,16.8738732975
65,1/10/2020,11:25,26.24,554.11,48.26,16.255535797500002,793.9354545,16.255535797500002
66,1/10/2020,11:30,29.68,621.29,40.43,16.5840409125,803.3963636,16.5840409125
67,1/10/2020,11:35,52.13,1096.69,44.65,17.143167615,805.1136364,17.143167615
68,1/10/2020,11:40,35.5,715.52,45.33,17.93855625,768.7972727000001,17.93855625
69,1/10/2020,11:45,30.76,628.74,42.66,18.4561329525,708.8927272999998,18.4561329525
70,1/10/2020,11:50,45.42,938.3,45.95,18.7705704525,631.1018182,18.7705704525
71,1/10/2020,11:55,35.9,752.22,45.08,17.950840912500006,605.1272727,17.950840912500006
72,1/10/2020,12:00,26.51,552.08,46.31,17.760751702500006,573.8809091,17.760751702500006
73,1/10/2020,12:05,24.67,511.28,39.73,18.21572898,496.3172727,18.21572898
74,1/10/2020,12:10,17.2,331.73,35.56,17.9476909125,454.7345455,17.9476909125
75,1/10/2020,12:15,12.83,240.16,32.25,17.71815852,420.3427273,17.71815852
76,1/10/2020,12:20,14.45,268.39,28.38,17.80206648,356.7372727,17.80206648
77,1/10/2020,12:25,15.97,277.58,28.19,17.5057056825,310.1145455,17.5057056825
78,1/10/2020,12:30,13.55,243.49,27.86,16.7255369325,282.1227273,16.7255369325
79,1/10/2020,12:35,14.64,258.11,28.82,16.30667727,259.6872727,16.30667727
80,1/10/2020,12:40,13.69,250.43,28.89,15.81091875,250.1372727,15.81091875
81,1/10/2020,12:45,13.03,238.64,27.94,15.392180115,247.4645455,15.392180115
82,1/10/2020,12:50,13.31,239.37,26.63,15.2268715875,245.5290909,15.2268715875
83,1/10/2020,12:55,13.76,244.17,26.4,15.03917727,247.6872727,15.03917727
84,1/10/2020,13:00,14.51,264.49,26.8,14.7977744325,257.7718182,14.7977744325
85,1/10/2020,13:05,13.08,226.68,25.4,14.661857385,264.4609091,14.661857385
86,1/10/2020,13:10,11.7,210.76,25.3,14.41007727,276.3709091,14.41007727
87,1/10/2020,13:15,13.44,247.1,25.37,14.1238329525,293.8527273,14.1238329525
88,1/10/2020,13:20,15.89,301.32,26.09,13.951655115,308.5809091,13.951655115
89,1/10/2020,13:25,19.48,354.42,27.37,13.7219642025,319.8827273,13.7219642025
90,1/10/2020,13:30,18.56,331.69,28.85,13.535555115,325.1190909,13.535555115
91,1/10/2020,13:35,21.64,381.44,28.8,15.0466072735,332.9890909,15.0466072735
92,1/10/2020,13:40,25.0,430.94,29.03,14.687575,343.6545455,14.687575
93,1/10/2020,13:45,24.11,401.38,28.56,14.503538405999999,350.9327273,14.503538405999999
94,1/10/2020,13:50,22.21,368.49,26.45,14.324746702999999,354.8790909,14.324746702999999
95,1/10/2020,13:55,18.25,322.09,25.65,14.1231344295,351.5372727,14.1231344295
96,1/10/2020,14:00,17.28,313.25,23.98,13.76092625,346.9336363999999,13.76092625
97,1/10/2020,14:05,18.08,328.08,23.88,14.347149542999999,332.78,14.347149542999999
98,1/10/2020,14:10,19.26,327.16,25.19,14.217394095,312.3036364,14.217394095
99,1/10/2020,14:15,21.55,344.73,24.97,14.049717957,293.69,14.049717957
100,1/10/2020,14:20,18.62,317.66,23.75,13.969949319000001,278.07,13.969949319000001
101,1/10/2020,14:25,16.82,281.05,22.77,13.814742275999999,269.69636360000004,13.814742275999999
102,1/10/2020,14:30,13.86,225.75,21.79,13.81122,264.1527273,13.81122
103,1/10/2020,14:35,11.78,205.7,21.25,13.922036595,254.4190909,13.922036595
104,1/10/2020,14:40,10.76,196.63,20.88,13.961096595,243.0227273,13.961096595
105,1/10/2020,14:45,10.5,196.67,20.75,14.079816819000001,228.9036364,14.079816819000001
106,1/10/2020,14:50,12.29,229.98,21.22,14.285129319000001,216.6081818,14.285129319000001
107,1/10/2020,14:55,13.99,252.27,22.26,13.762635906,206.2654545,13.762635906
108,1/10/2020,15:00,12.26,221.01,22.29,14.0159706795,199.7581818,14.0159706795
109,1/10/2020,15:05,11.68,201.8,22.22,14.279654202999998,193.5354545,14.279654202999998
110,1/10/2020,15:10,11.04,189.42,22.15,14.544407953,185.8454545,14.544407953
111,1/10/2020,15:15,10.37,182.41,22.54,14.802116367499998,175.3163636,14.802116367499998
112,1/10/2020,15:20,9.84,167.28,23.15,15.034834773499998,160.03818180000005,15.034834773499998
113,1/10/2020,15:25,9.43,154.17,23.1,15.104834203,142.2336364,15.104834203
114,1/10/2020,15:30,7.68,137.25,22.78,15.05554,126.4581818,15.05554
115,1/10/2020,15:35,6.17,112.04,21.98,14.933545679500003,113.2309091,14.933545679500003
116,1/10/2020,15:40,4.48,80.85,20.9,14.820466703,100.5809091,14.820466703
117,1/10/2020,15:45,3.46,61.92,19.61,14.685028867499998,87.59818182,14.685028867499998
118,1/10/2020,15:50,3.82,56.42,17.78,14.468060570499999,75.85545455,14.468060570499999
119,1/10/2020,15:55,5.03,47.48,16.88,14.2241511325,65.1,14.2241511325
120,1/10/2020,16:00,11.6,56.3,16.64,13.9747225,55.60545455,13.9747225
121,1/10/2020,16:05,10.68,50.27,16.86,13.734249773499998,48.04181818,13.734249773499998
122,1/10/2020,16:10,9.46,39.6,16.86,14.289414543,43.47636364,14.289414543
123,1/10/2020,16:15,9.97,38.11,16.79,14.089156362,40.62545455,14.089156362
124,1/10/2020,16:20,7.33,35.86,16.69,14.012187957,38.11545455,14.012187957
125,1/10/2020,16:25,6.56,32.81,16.68,13.981137957,36.09727273,13.981137957
126,1/10/2020,16:30,4.97,28.84,16.58,13.976750457,33.00181818,13.976750457
127,1/10/2020,16:35,5.05,30.63,16.43,13.916677499999999,30.43727273,13.916677499999999
128,1/10/2020,16:40,4.34,30.56,16.3,13.8105675,28.90636364,13.8105675
129,1/10/2020,16:45,3.74,28.81,16.08,13.691910681,27.55181818,13.691910681
130,1/10/2020,16:50,2.95,25.28,15.89,13.569492275999998,26.51454545,13.569492275999998
131,1/10/2020,16:55,1.73,22.25,15.65,13.440732957,25.56818182,13.440732957
132,1/10/2020,17:00,1.57,22.06,15.35,13.304507724,24.75818182,13.304507724
133,1/10/2020,17:05,1.81,22.76,15.1,13.182711138,23.66272727,13.182711138
134,1/10/2020,17:10,1.49,23.21,14.93,13.069926819,22.43454545,13.069926819
135,1/10/2020,17:15,1.25,24.45,14.88,12.965743638,21.15636364,12.965743638
136,1/10/2020,17:20,1.03,22.4,14.82,12.860415,19.66,12.860415
137,1/10/2020,17:25,0.82,19.93,14.67,12.754345905,17.92909091,12.754345905
138,1/10/2020,17:30,0.65,18.58,14.61,12.656650905,16.05818182,12.656650905
139,1/10/2020,17:35,0.56,17.05,14.55,13.96719545,14.08545455,13.96719545
140,1/10/2020,17:40,0.43,14.75,14.42,13.87090227,12.06636364,13.87090227
141,1/10/2020,17:45,0.19,8.82,14.15,13.76495682,9.935454545,13.76495682
142,1/10/2020,17:50,0.0,3.21,13.83,13.65115909,7.990909091,13.65115909
143,1/10/2020,17:55,0.0,1.48,13.59,13.53573182,6.270909091,13.53573182
145,2/10/2020,6:00,0.47,17.26,8.19,7.822727273,18.90909091,7.822727273
146,2/10/2020,6:05,0.73,23.08,8.32,7.842770455,23.33727273,7.842770455
147,2/10/2020,6:10,0.96,27.94,8.52,7.874127272999999,28.31272727,7.874127272999999
148,2/10/2020,6:15,1.2,32.7,8.75,7.918597727000001,33.77,7.918597727000001
149,2/10/2020,6:20,1.44,37.8,9.13,7.996472727,39.66545455,7.996472727
150,2/10/2020,6:25,1.73,43.53,9.4,8.105584091,46.01181818,8.105584091
